CustomerID,UserID,EncryptedPaymentInfo
1,1,0x4372656469742043617264202D20585858582D585858582D585858582D58585858
2,3,0x50617950616C202D2075736572406578616D706C652E636F6D
3,5,0x44656269742043617264202D20595959592D595959592D595959592D59595959
4,2,0x42616E6B205472616E73666572202D204163636F756E743A2058585858585858582C20526F7574696E673A205959595959595959
5,4,0x43617368206F6E2044656C6976657279
6,6,0x4372656469742043617264202D205A5A5A5A2D5A5A5A5A2D5A5A5A5A2D5A5A5A5A
7,8,0x44656269742043617264202D204B4B4B4B2D4B4B4B4B2D4B4B4B4B2D4B4B4B4B
8,10,0x50617950616C202D207573657232406578616D706C652E636F6D
9,7,0x42616E6B205472616E73666572202D204163636F756E743A20515151512D515151512D515151512C20526F7574696E673A20575757572D575757572D57575757
10,9,0x43617368206F6E2044656C6976657279
