UserID,UserFName,UserLName,PhoneNumber,email,DOB,BankAccInfo,UserType
1,Winslow,Katz,564-136-4963,wkatz0@dell.com,1/13/2011,Bank IIII-2345-6789,C
2,Ruy,Birtchnell,596-459-6030,rbirtchnell1@ucsd.edu,,Bank HHHH-3456-7890,D
3,Cristian,Madden,386-729-0695,cmadden2@fc2.com,10/2/2016,Bank HHHH-3456-7890,C
4,Ward,Cinelli,666-266-2197,wcinelli3@miibeian.gov.cn,12/6/2022,Bank ABCD-1234-5678,C
5,Monti,Northall,540-532-2553,mnorthall4@biglobe.ne.jp,4/3/2015,Bank ZZZZ-ZZZZ-ZZZZ,D
6,Violetta,Willshere,494-432-9048,vwillshere5@seattletimes.com,11/9/2023,Bank WXYZ-5678-9012,D
7,Issiah,Bisseker,979-559-6511,ibisseker6@reuters.com,8/23/2000,Bank HHHH-3456-7890,D
8,Susanetta,Edgeon,303-117-5457,sedgeon7@technorati.com,12/10/2004,Bank ABCD-1234-5678,C
9,Minette,Buterton,941-685-3263,mbuterton8@goo.gl,,Bank YYYY-YYYY-YYYY,C
10,Elroy,Dronsfield,322-611-2302,edronsfield9@cyberchimps.com,8/21/2015,Bank WXYZ-5678-9012,C
11,Pernell,Doswell,295-982-4798,pdoswella@cmu.edu,9/11/2003,Bank GGGG-9876-5432,C
12,Karleen,Persey,889-636-5609,kperseyb@about.com,,Bank YYYY-YYYY-YYYY,C
13,Sven,Winpenny,542-594-2447,swinpennyc@a8.net,12/28/2016,Bank WXYZ-5678-9012,D
14,Nana,Prestige,612-326-5210,nprestiged@bloglovin.com,12/16/2008,Bank IIII-2345-6789,D
15,Meir,Raubenheimers,319-644-4666,mraubenheimerse@woothemes.com,9/28/2006,Bank HHHH-3456-7890,C
16,Daisy,Alentyev,738-952-8244,dalentyevf@google.it,4/3/2020,Bank ABCD-1234-5678,D
17,Saw,Elgie,641-662-9712,selgieg@slideshare.net,,Bank ZZZZ-ZZZZ-ZZZZ,C
18,Kathryne,Arboine,557-423-3264,karboineh@cam.ac.uk,9/7/2021,Bank ABCD-1234-5678,D
19,Chere,Keele,861-816-2658,ckeelei@paginegialle.it,,Bank XXXX-XXXX-XXXX,C
20,Linn,Huckstepp,537-338-3608,lhucksteppj@taobao.com,11/6/2015,Bank HHHH-3456-7890,D
21,Purcell,Hindenburg,951-393-3793,phindenburgk@uiuc.edu,6/5/2011,Bank YYYY-YYYY-YYYY,C
22,Max,Ragat,453-330-1229,mragatl@devhub.com,1/18/2003,Bank IIII-2345-6789,C
23,Leroy,Mateo,861-131-7838,lmateom@goo.ne.jp,3/11/2013,Bank ABCD-1234-5678,D
24,Ramsay,Divisek,152-786-3807,rdivisekn@myspace.com,10/8/2006,Bank EEEE-5678-9012,C
25,Linoel,Luparto,460-367-2331,llupartoo@amazon.co.uk,5/21/2008,Bank IIII-2345-6789,C
26,Vivyanne,Schnitter,970-271-7391,vschnitterp@dailymail.co.uk,,Bank GGGG-9876-5432,D
27,Holden,Rheam,943-832-6246,hrheamq@yelp.com,12/10/2006,Bank ZZZZ-ZZZZ-ZZZZ,D
28,Chester,Slay,186-580-0052,cslayr@mit.edu,2/5/2013,Bank EEEE-5678-9012,C
29,Bengt,Dabell,924-401-0688,bdabells@moonfruit.com,10/29/2005,Bank ZZZZ-ZZZZ-ZZZZ,C
30,Fifi,Lynn,232-102-2964,flynnt@phoca.cz,12/17/2006,Bank XXXX-XXXX-XXXX,D
